campaignTitle,title_word_ct,title_word_match,title_word_score,blurb_word_ct,blurb_word_match,blurb_word_score
I am deliberate: a new work sponsored by Tobacco Road Dance,6.00E+00,5.00E+00,3.60E+01,1.40E+01,9.00E+00,1.90E+02
The Future of Sustainable Seafood is from Dock to Dish,1.20E+01,3.00E+00,1.90E+01,2.30E+01,8.00E+00,3.46E+02
Barista Alley,1.10E+01,4.00E+00,9.40E+01,2.30E+01,1.10E+01,5.82E+02
Mysponsers.com,3.00E+00,0.00E+00,0.00E+00,1.90E+01,8.00E+00,6.70E+01
Times Of Plenty,3.00E+00,0.00E+00,0.00E+00,2.40E+01,9.00E+00,1.09E+03
Extra - Cleaning on Demand,4.00E+00,1.00E+00,1.00E+00,1.70E+01,9.00E+00,8.30E+02
Shores of Anaverde Card Set,5.00E+00,3.00E+00,1.00E+01,2.10E+01,8.00E+00,3.47E+02
Stringy and Mopy: The Adventure Begins - Superhero Comic,6.00E+00,1.00E+00,9.40E+01,1.80E+01,7.00E+00,4.38E+02
Bodega Bass Records x Inhuman Pin Co Pin,9.00E+00,4.00E+00,6.10E+01,2.10E+01,1.20E+01,1.50E+03
Survival Belt,9.00E+00,2.00E+00,2.00E+00,1.80E+01,1.00E+01,1.13E+03
Premium Lightning,3.00E+00,2.00E+00,3.20E+01,2.10E+01,1.30E+01,1.30E+03
Icarus Nation mountain bike clothing & apparel,3.00E+00,2.00E+00,2.70E+01,2.60E+01,1.50E+01,1.67E+03
Myanmar Refugee Documentary Photography Project,8.00E+00,5.00E+00,3.40E+01,2.30E+01,1.50E+01,1.96E+03
MagWood Slim 3 and Slim 5: Magnetic Wooden Hooks,6.00E+00,3.00E+00,9.50E+01,2.30E+01,6.00E+00,2.04E+02
Help us take Suzzy's Soap to market,1.00E+01,4.00E+00,6.60E+01,1.00E+01,7.00E+00,6.54E+02
VALUE/ABLE - Documentary on Mozambique,9.00E+00,4.00E+00,1.90E+01,2.40E+01,1.20E+01,1.34E+03
Children of Eldair Book 1,6.00E+00,1.00E+00,4.50E+01,1.90E+01,8.00E+00,4.37E+02
THE WITNESS DEVICE,6.00E+00,2.00E+00,8.30E+01,4.00E+01,1.90E+01,2.08E+03
Clover Complex,4.00E+00,1.00E+00,9.00E+00,1.90E+01,1.10E+01,2.01E+03
Folding Greenhouse with watering system,3.00E+00,0.00E+00,0.00E+00,1.90E+01,9.00E+00,5.00E+01
NutraMilk: Make Nut Milk & Butter In Minutes,6.00E+00,4.00E+00,1.54E+02,2.70E+01,1.00E+01,2.35E+02
Lisa Frank Makeup Collaboration,9.00E+00,4.00E+00,4.60E+01,2.00E+01,1.00E+01,3.91E+02
Award-Winning 11-Year-Old Violinist to Record Concerto,5.00E+00,2.00E+00,6.00E+00,2.40E+01,1.20E+01,9.55E+02
"Mississippi Freedom Summer, 1964",1.00E+01,4.00E+00,3.10E+01,2.10E+01,1.10E+01,2.75E+02
Midas Skull Enamel Pin,5.00E+00,1.00E+00,4.00E+00,2.20E+01,1.10E+01,2.21E+02
Kay's Adventure Diary,5.00E+00,2.00E+00,2.00E+00,1.50E+01,7.00E+00,4.97E+02
The MARK 1 by Monarch VII,5.00E+00,2.00E+00,4.50E+01,2.30E+01,1.20E+01,1.03E+03
CommonHarry.com Launching April 13th!,7.00E+00,1.00E+00,3.00E+00,2.10E+01,1.50E+01,1.80E+03
AllThis TV,6.00E+00,1.00E+00,3.00E+00,2.00E+01,8.00E+00,1.32E+02
The Discarded,3.00E+00,0.00E+00,0.00E+00,1.90E+01,1.20E+01,1.04E+03
PETS - The first programming learning kit,3.00E+00,0.00E+00,0.00E+00,2.50E+01,1.30E+01,4.35E+02
The Pink Triangle Project,7.00E+00,4.00E+00,1.06E+02,2.20E+01,1.20E+01,1.12E+03
Digital Student ID -Connecting Students and Universities,5.00E+00,1.00E+00,4.60E+01,2.40E+01,1.10E+01,7.76E+02
Breaking Time,8.00E+00,2.00E+00,2.20E+01,2.00E+01,1.30E+01,8.98E+02
Bring Back Rozy Lenore!,3.00E+00,2.00E+00,4.50E+01,2.70E+01,1.30E+01,1.36E+03
HIIT Bottle,5.00E+00,2.00E+00,4.20E+01,2.70E+01,1.50E+01,5.45E+02
ReWire: The Game For Your Brain,3.00E+00,2.00E+00,2.70E+01,1.50E+01,1.20E+01,4.12E+02
Smart Box,7.00E+00,3.00E+00,5.16E+02,2.00E+01,7.00E+00,8.97E+02
LOVE TUNNEL,3.00E+00,1.00E+00,8.40E+01,3.00E+00,1.00E+00,2.00E+00
JeKristen presents Mat DuJour,3.00E+00,1.00E+00,1.50E+01,2.10E+01,1.50E+01,1.73E+03
Summit Pedalboards,5.00E+00,1.00E+00,4.00E+00,2.30E+01,1.00E+01,1.61E+03
"Last Bottle Clothing - Closed Loop, Sustainable Apparel",3.00E+00,0.00E+00,0.00E+00,2.20E+01,1.30E+01,7.43E+02
"""the BUZZ"" - Forever BUZZed!",8.00E+00,7.00E+00,6.10E+01,2.40E+01,1.30E+01,8.12E+02
That's My demo,5.00E+00,1.00E+00,7.00E+00,3.50E+01,1.40E+01,2.49E+03
Erling - The first jewelry for Apple Airpods,5.00E+00,2.00E+00,7.80E+01,2.30E+01,1.30E+01,2.69E+02
"Failure, You Are Not My Jacket",8.00E+00,3.00E+00,1.11E+02,2.40E+01,1.20E+01,2.25E+03
Lumos - An automatic glaucoma screening kit,7.00E+00,1.00E+00,7.00E+00,2.20E+01,9.00E+00,1.53E+02
The Aspiring Potter: A Kiln Project,7.00E+00,2.00E+00,7.00E+00,2.20E+01,6.00E+00,1.00E+02
DITKO NOW AND THEN,7.00E+00,1.00E+00,4.60E+01,2.00E+01,9.00E+00,3.31E+02
Lunch Notes with Love,5.00E+00,1.00E+00,1.00E+00,2.20E+01,6.00E+00,1.33E+02
Playing Dr.,5.00E+00,3.00E+00,1.32E+02,2.40E+01,1.30E+01,1.35E+03
NEBBY: Rick Sebak's Tales of Greater Pittsburgh,3.00E+00,1.00E+00,6.10E+01,2.00E+01,7.00E+00,1.01E+03
Platonic Solids,9.00E+00,1.00E+00,1.20E+01,2.50E+01,1.00E+01,9.54E+02
MID Strategy,3.00E+00,0.00E+00,0.00E+00,2.60E+01,1.10E+01,5.36E+02
A Diverse Children's Book for a Diverse World,3.00E+00,1.00E+00,1.70E+01,2.20E+01,1.20E+01,4.39E+02
Playground's Album Project,1.00E+01,3.00E+00,2.60E+02,2.40E+01,1.10E+01,8.84E+02
FoxPrintCreation's Button Goal,5.00E+00,3.00E+00,9.40E+01,2.40E+01,1.40E+01,1.16E+03
"""Adventures with Mariah!"" An Emerging Literacy software app",5.00E+00,2.00E+00,7.00E+00,2.50E+01,1.30E+01,3.58E+02
Giphty - Customized. Personalized. Better Gifting.,9.00E+00,2.00E+00,1.23E+02,1.90E+01,9.00E+00,2.02E+02
PocketGoat Postcard series,6.00E+00,1.00E+00,2.90E+01,2.50E+01,8.00E+00,2.42E+03
Scar Stories,4.00E+00,1.00E+00,2.70E+01,1.20E+01,4.00E+00,5.20E+01
Pablo // A Visual Narrative by @thanksmike,3.00E+00,1.00E+00,5.00E+00,1.90E+01,9.00E+00,9.45E+02
The Empowered Mom,7.00E+00,3.00E+00,1.70E+01,2.70E+01,1.10E+01,8.86E+02
House of Royalty alcohol on demand delivery app.,4.00E+00,0.00E+00,0.00E+00,2.30E+01,8.00E+00,1.09E+03
MOBILE SPENDERS,9.00E+00,2.00E+00,5.00E+00,2.50E+01,1.10E+01,2.96E+02
Benito's Extraordinary Moments - A Midlife Memoir of Triumph,3.00E+00,1.00E+00,2.40E+01,2.70E+01,1.20E+01,1.38E+03
"The Oswald Chronicles ""Passing Queens""",1.00E+01,1.00E+00,1.00E+00,2.40E+01,5.00E+00,1.07E+02
"The Arthurian, playing cards inspired by King Arthur",6.00E+00,1.00E+00,3.00E+00,1.80E+01,7.00E+00,1.39E+03
MbileSchlgen: The Anywhere Game! Skill. Strategy. Fun.,9.00E+00,5.00E+00,1.38E+02,2.50E+01,1.10E+01,5.26E+02
Rescue Cats Comic #1 - Cover B - Limited!,8.00E+00,3.00E+00,3.09E+02,2.10E+01,8.00E+00,1.49E+03
Cree,8.00E+00,4.00E+00,2.00E+01,2.60E+01,1.90E+01,1.29E+03
Carousel Files,2.00E+00,0.00E+00,0.00E+00,2.00E+01,1.20E+01,8.17E+02
Faulty Apprentice: Interactive Visual Novel / Dating Sim,3.00E+00,1.00E+00,1.00E+00,2.70E+01,1.30E+01,1.15E+03
FLASH! Fiction Anthology,8.00E+00,4.00E+00,4.50E+01,2.80E+01,1.90E+01,1.54E+03
"HubPi Cam -USB Hub ,Camera and case for Raspberry Pi Zero W",4.00E+00,3.00E+00,4.00E+01,1.80E+01,1.00E+01,1.67E+02
Jud Lau Surfboards & Hana Hwy Surf Launch,1.30E+01,4.00E+00,8.80E+01,2.60E+01,7.00E+00,1.03E+03
Shaving & Grooming Subscription with Attitude,9.00E+00,1.00E+00,3.00E+00,2.60E+01,1.20E+01,1.36E+03
Book creation: How to get a Corporate Job out of College,7.00E+00,4.00E+00,1.20E+02,1.60E+01,1.10E+01,1.08E+03
Spookmart's Halloween 2017 Preorder,1.20E+01,2.00E+00,7.90E+01,2.50E+01,1.00E+01,1.50E+03
Backdraft Bar-B-Q Competition Barbeque and Catering,6.00E+00,2.00E+00,5.00E+00,2.50E+01,8.00E+00,2.90E+02
Chocolate Zen Garden,9.00E+00,0.00E+00,0.00E+00,2.60E+01,1.10E+01,2.01E+03
goal sharing website,4.00E+00,2.00E+00,7.00E+00,2.20E+01,1.30E+01,1.11E+03
Vuzex - A Better GoPro Housing,4.00E+00,2.00E+00,3.00E+00,2.10E+01,1.30E+01,4.72E+02
That Is My Sheep,6.00E+00,2.00E+00,3.50E+01,2.00E+01,1.40E+01,1.60E+02
Imposter (marketing),5.00E+00,1.00E+00,7.70E+01,2.50E+01,1.50E+01,3.46E+03
Another Must laugh Production Movie,3.00E+00,0.00E+00,0.00E+00,2.30E+01,1.20E+01,6.55E+02
"Proyecto 78 Pueblos y 1 Bandera de Hector PR - Villalba, PR",6.00E+00,4.00E+00,2.80E+01,2.40E+01,1.30E+01,3.70E+02
30 Monsters or Less by Ross Kearney & Bryan Steward,1.20E+01,0.00E+00,0.00E+00,2.20E+01,1.20E+01,1.61E+03
Messina: World of Forgotten Fairy Tales,1.10E+01,2.00E+00,1.50E+01,2.50E+01,1.50E+01,2.53E+03
Partway Travel,7.00E+00,4.00E+00,1.96E+02,2.40E+01,1.50E+01,1.58E+03
Too Good to be True,3.00E+00,1.00E+00,2.70E+01,2.40E+01,1.20E+01,3.40E+02
NightLit Mobile App,6.00E+00,2.00E+00,1.30E+01,2.60E+01,1.20E+01,4.96E+02
Lucy Keychain bats,4.00E+00,1.00E+00,2.40E+01,2.10E+01,1.20E+01,2.08E+02
NanoClear: revolutionary fouling protection for aquariums,4.00E+00,2.00E+00,1.20E+01,2.10E+01,1.20E+01,7.99E+02
Sweet Sloth Pins,7.00E+00,2.00E+00,2.50E+01,1.90E+01,7.00E+00,7.33E+02
The Easy Breezy Messenger Bag - For Everybody All The Time,4.00E+00,1.00E+00,1.00E+00,1.70E+01,5.00E+00,5.70E+01
First Ever 32er Big Bike For All Tall,1.10E+01,4.00E+00,6.80E+01,1.50E+01,9.00E+00,2.80E+02
"World Only 36"" MTB and 36"" Road Bikes for Tall People",9.00E+00,3.00E+00,1.57E+02,2.40E+01,1.00E+01,8.47E+02
Run Safe NYC (personal safety products for active people),1.20E+01,5.00E+00,2.15E+02,2.50E+01,9.00E+00,1.14E+03
Small Towns Rising,1.00E+01,6.00E+00,3.20E+01,2.30E+01,1.10E+01,1.48E+02
Red Matter Amps and Music Accessories,4.00E+00,2.00E+00,1.10E+01,2.30E+01,1.20E+01,3.30E+02
Bowsie,7.00E+00,4.00E+00,3.20E+01,2.10E+01,1.10E+01,2.16E+03
Simply Food,2.00E+00,0.00E+00,0.00E+00,2.60E+01,1.30E+01,1.44E+03
The Frontiers of the Forsaken Himalayas,3.00E+00,2.00E+00,1.70E+01,2.50E+01,1.40E+01,2.99E+03
Blessed Threads: Let's creatively change the world!,7.00E+00,2.00E+00,7.00E+00,2.10E+01,9.00E+00,8.40E+02
The Living Graphic Novel - Starring You!,9.00E+00,2.00E+00,1.85E+02,1.40E+01,7.00E+00,1.27E+03
S'MM SS2018!,7.00E+00,4.00E+00,4.70E+01,2.60E+01,1.40E+01,2.93E+03
BLACK INK People of color in comics,4.00E+00,0.00E+00,0.00E+00,2.30E+01,1.10E+01,3.50E+02
Rubin Vase 3D Sticky Notes - Evolution Note Paper,8.00E+00,4.00E+00,3.90E+01,1.50E+01,7.00E+00,3.31E+02
It's Monsters & Cheese,9.00E+00,5.00E+00,2.70E+01,2.30E+01,1.00E+01,1.03E+03
"Drinking Dirty in Jersey New Studio, More Episodes",6.00E+00,1.00E+00,4.00E+00,2.40E+01,1.60E+01,2.85E+03
Callan's MFA Thesis Play: you do not look,9.00E+00,4.00E+00,6.40E+01,1.90E+01,9.00E+00,5.59E+02
Wunderkammern Live! the secret life of objects,1.00E+01,2.00E+00,1.90E+01,2.00E+01,7.00E+00,1.82E+02
Alternative Facts the Game,8.00E+00,4.00E+00,7.30E+01,2.90E+01,9.00E+00,1.20E+03
Fire Beside the Railroad Tracks,5.00E+00,3.00E+00,2.85E+02,2.20E+01,1.00E+01,1.01E+03
Obsidian Eyes,6.00E+00,3.00E+00,1.30E+01,2.10E+01,1.30E+01,1.36E+03
Goody Good issue #1,3.00E+00,2.00E+00,3.00E+00,1.50E+01,7.00E+00,1.93E+02
Do you need more Chocolate in your life?,5.00E+00,2.00E+00,7.00E+00,1.90E+01,9.00E+00,9.20E+01
Blue Valkyrie #1 - A Sci-fi Action Comic,9.00E+00,5.00E+00,3.33E+02,1.60E+01,6.00E+00,2.51E+02
The Little Shop of Horrors Trading Cards,9.00E+00,3.00E+00,4.10E+01,2.40E+01,8.00E+00,1.66E+02
Movie Poster Parodies,8.00E+00,3.00E+00,7.80E+01,1.90E+01,1.00E+01,7.05E+02
Stop The Art System,4.00E+00,2.00E+00,2.10E+01,2.10E+01,1.00E+01,1.83E+02
The Blue Dragon Banner page,5.00E+00,2.00E+00,3.80E+01,2.80E+01,1.40E+01,7.28E+02
LoveGolfNow,6.00E+00,4.00E+00,2.40E+01,2.20E+01,1.00E+01,5.91E+02
Planter Box,2.00E+00,0.00E+00,0.00E+00,2.50E+01,1.00E+01,7.00E+02
The Pilgrim's Progress CGI Animation: Campaign #2,3.00E+00,0.00E+00,0.00E+00,1.20E+01,4.00E+00,1.90E+01
Move like the Herd! Comic relief from a political situation.,9.00E+00,3.00E+00,1.40E+01,2.20E+01,1.10E+01,9.08E+02
"""A Beautiful Dying"" music by Molly McLaughlin",1.10E+01,5.00E+00,9.90E+01,2.40E+01,1.40E+01,5.21E+02
3 Pyramids Music,8.00E+00,4.00E+00,4.10E+01,1.20E+01,5.00E+00,1.87E+02
SatchelBord: World's 1st Truly Portable Workstation,4.00E+00,2.00E+00,2.80E+01,1.50E+01,7.00E+00,1.93E+02
"An Atlas to Time, Space, and Bonfires: A Sci-Fi Anthology",8.00E+00,3.00E+00,2.05E+02,3.70E+01,1.90E+01,2.20E+03
Martian - Issue 1,1.20E+01,4.00E+00,1.00E+02,2.30E+01,1.00E+01,7.67E+02
Giant Gas Skateboard,4.00E+00,2.00E+00,5.00E+00,2.60E+01,1.50E+01,7.14E+02
Myer: The Eternal Light,4.00E+00,2.00E+00,7.00E+00,2.80E+01,1.00E+01,3.39E+02
Prison Labor and the Invisible Foundation of Philadelphia,5.00E+00,2.00E+00,5.20E+01,1.60E+01,9.00E+00,2.56E+02
Battle Born Brigade Scarves - Final Batch,9.00E+00,1.00E+00,4.00E+00,2.00E+01,1.00E+01,8.44E+02
Project Threadbare,7.00E+00,4.00E+00,2.40E+01,2.40E+01,1.20E+01,1.15E+03
You Dirty Pore!,3.00E+00,1.00E+00,4.60E+01,2.50E+01,1.00E+01,1.61E+03
The Amitycode,4.00E+00,0.00E+00,0.00E+00,2.00E+01,8.00E+00,1.32E+02
Psychedelic Revolution DIY Brand,3.00E+00,0.00E+00,0.00E+00,2.50E+01,1.00E+01,5.48E+02
My RODE Reel Film Project,5.00E+00,2.00E+00,1.80E+01,1.50E+01,1.00E+01,1.94E+03
The First 200,6.00E+00,2.00E+00,9.30E+01,2.80E+01,1.30E+01,2.57E+03
MiniCool-The Future of Outdoor Cooling,4.00E+00,1.00E+00,9.90E+01,1.70E+01,6.00E+00,6.53E+02
Stressin,7.00E+00,2.00E+00,1.90E+01,2.50E+01,1.00E+01,1.66E+03
I AM,2.00E+00,0.00E+00,0.00E+00,1.60E+01,7.00E+00,7.32E+02
Of Whores and Fishtanks,3.00E+00,0.00E+00,0.00E+00,9.00E+00,5.00E+00,1.80E+03
POTCOV - The Universal Pot Cover Holder with Spoon Rest,5.00E+00,0.00E+00,0.00E+00,1.90E+01,1.20E+01,7.44E+02
To get ChillBilly's shaved ice up and running full time,1.00E+01,5.00E+00,1.31E+02,1.00E+01,4.00E+00,7.30E+01
The Republic - A Short Film,1.20E+01,3.00E+00,5.80E+01,2.70E+01,1.20E+01,1.20E+03
Stuck In A Book,6.00E+00,2.00E+00,5.00E+01,1.90E+01,7.00E+00,7.70E+02
Elsa Cross - New Album Produced by Hunt Sales,5.00E+00,1.00E+00,7.60E+01,2.10E+01,1.00E+01,3.54E+02
My story of living with heart disease for 50 years,9.00E+00,4.00E+00,5.10E+01,2.60E+01,1.30E+01,1.68E+03
Tacos el chamuko,1.10E+01,6.00E+00,1.80E+02,2.30E+01,9.00E+00,1.02E+03
The Kite and the Boy,4.00E+00,0.00E+00,0.00E+00,2.30E+01,1.10E+01,5.33E+02
"""SMUT AND POLITICS""",6.00E+00,0.00E+00,0.00E+00,2.60E+01,9.00E+00,8.89E+02
Socialyk - World's 1st human centric SaaS platform,4.00E+00,1.00E+00,4.00E+00,2.10E+01,9.00E+00,1.40E+02
Maplewood Barn Theatre Summer 2017 Backdrops Redux,9.00E+00,3.00E+00,1.88E+02,2.00E+01,1.10E+01,2.61E+02
Chet's Anytime Bloody Mary Seasoning Mix II,8.00E+00,3.00E+00,1.10E+01,2.30E+01,1.00E+01,4.72E+02
"Colton Venner - ""Chasing Storms EP""",9.00E+00,2.00E+00,5.00E+00,2.10E+01,1.20E+01,1.23E+03
The Senior Project,6.00E+00,0.00E+00,0.00E+00,2.10E+01,1.10E+01,1.05E+03
Ikea Garden,4.00E+00,1.00E+00,4.60E+01,2.30E+01,8.00E+00,2.20E+02
Help K-FAM Media Start a Business for Making Dreams Reality,3.00E+00,1.00E+00,6.00E+00,1.70E+01,1.00E+01,1.53E+03
Fantasy Art Book,1.20E+01,7.00E+00,3.30E+01,1.00E+01,5.00E+00,2.86E+02
Beef Stick Lovers Dream,4.00E+00,2.00E+00,1.12E+02,1.70E+01,9.00E+00,4.06E+02
Wooden Drink Coasters,5.00E+00,4.00E+00,1.70E+01,1.80E+01,1.20E+01,1.75E+03
Toon-Me,4.00E+00,2.00E+00,8.00E+00,2.20E+01,1.50E+01,3.73E+03
The Actor's Video Casting Portfolio,3.00E+00,0.00E+00,0.00E+00,1.80E+01,7.00E+00,3.07E+02
An Unlikely Party - 28mm Miniatures,7.00E+00,1.00E+00,3.30E+01,2.30E+01,8.00E+00,7.51E+02
Little Red Brick House,6.00E+00,3.00E+00,3.10E+01,1.00E+01,6.00E+00,2.25E+02
The Stick-It,5.00E+00,3.00E+00,2.20E+01,2.10E+01,8.00E+00,2.54E+02
Student Film: Diagnosis,4.00E+00,1.00E+00,9.00E+00,2.30E+01,9.00E+00,3.10E+02
Makeblock Neuron: An Electronic Building Block Platform,4.00E+00,2.00E+00,4.80E+01,2.20E+01,1.30E+01,3.79E+02
To Kid Or Not To Kid: The Movie,8.00E+00,5.00E+00,3.50E+01,1.50E+01,9.00E+00,5.52E+02
The Pastie Project Book,9.00E+00,1.00E+00,1.90E+01,2.70E+01,1.10E+01,1.48E+03
Safe networking online! Earn money or find love!,5.00E+00,2.00E+00,1.22E+02,2.10E+01,9.00E+00,2.75E+02
FabFob,9.00E+00,5.00E+00,4.30E+01,2.10E+01,1.30E+01,1.09E+03
The Bridge Master's Daughter,2.00E+00,0.00E+00,0.00E+00,2.70E+01,1.10E+01,2.88E+03
Spaced Out,6.00E+00,2.00E+00,6.00E+00,2.50E+01,9.00E+00,9.80E+01
Incurator Zipper Bag Hanger,3.00E+00,0.00E+00,0.00E+00,2.50E+01,9.00E+00,4.36E+02
Ladies Small Size Designer Shoes Sizes 4 to 5 1/2 only.,5.00E+00,2.00E+00,2.00E+00,1.90E+01,1.30E+01,2.02E+03
Learn Modular Synthesizer Building,1.30E+01,5.00E+00,3.50E+01,2.50E+01,1.10E+01,2.89E+02
FLOAFERS: Foam Meets Fashion,5.00E+00,3.00E+00,5.20E+01,2.10E+01,1.40E+01,2.78E+03
kiss of love 2017 burning man,5.00E+00,3.00E+00,9.00E+00,2.20E+01,1.10E+01,1.34E+03
BoxAway,7.00E+00,4.00E+00,2.40E+01,1.50E+01,8.00E+00,8.02E+02
Help My Artistic Vision Come To Life,2.00E+00,0.00E+00,0.00E+00,3.10E+01,1.10E+01,7.57E+02
Accidental Aliens Anthology 2017,8.00E+00,4.00E+00,6.30E+01,1.70E+01,5.00E+00,2.09E+02
I'm No Expert - An Educational Web Series,5.00E+00,3.00E+00,2.30E+01,1.80E+01,1.00E+01,7.56E+02
FSU/Asolo Conservatory Class of 2017 NYC Showcase,9.00E+00,2.00E+00,2.90E+01,2.30E+01,1.20E+01,8.36E+02
Mae | Short Film,9.00E+00,2.00E+00,5.00E+00,2.30E+01,1.30E+01,1.81E+03
The Ask Little Chicken Show,4.00E+00,2.00E+00,5.00E+01,1.10E+01,9.00E+00,1.96E+02
FamFilter,6.00E+00,2.00E+00,2.60E+01,2.50E+01,1.10E+01,1.10E+03
J R 808 TEK Gear (Hoodie),2.00E+00,0.00E+00,0.00E+00,2.20E+01,1.30E+01,1.81E+03
Fidget Widget,7.00E+00,2.00E+00,8.00E+00,2.40E+01,1.10E+01,3.67E+02
DAGZ - It's a lot like Bags but with Dice.,3.00E+00,1.00E+00,1.00E+00,2.10E+01,1.30E+01,3.29E+03
Bohemian Inspired Collection with Influence of Folk Culture,1.10E+01,4.00E+00,1.85E+02,2.70E+01,1.30E+01,1.95E+03
Merrill (Working title),9.00E+00,5.00E+00,1.55E+02,1.80E+01,7.00E+00,6.19E+02
Redd's Bone Mine,4.00E+00,1.00E+00,1.00E+00,2.00E+01,9.00E+00,4.75E+02
Bring Anxiety Fox to Life!,5.00E+00,2.00E+00,1.00E+01,1.20E+01,8.00E+00,3.14E+02
Mercury Sign Board,6.00E+00,2.00E+00,6.20E+01,9.00E+00,4.00E+00,1.55E+02
American Freedom,4.00E+00,1.00E+00,6.10E+01,2.50E+01,1.00E+01,6.31E+02
the Wallingford Juicer,3.00E+00,2.00E+00,1.20E+01,1.90E+01,1.10E+01,4.76E+02
Vibe Tyrant Limited Edition,4.00E+00,0.00E+00,0.00E+00,2.00E+01,1.20E+01,1.32E+03
HELP ME SAVE MY LIFE WITH MUSIC! ( A HomeGrown Story ),5.00E+00,2.00E+00,7.20E+01,2.30E+01,1.30E+01,4.34E+02
City Planner APP,1.10E+01,7.00E+00,2.54E+02,2.70E+01,1.00E+01,5.06E+02
NJO 40: Nebraska Jazz Orchestra's 40th Anniversary CD,4.00E+00,2.00E+00,3.20E+01,2.10E+01,1.00E+01,8.85E+02
EverHunter - An Action Roguelike-like Platformer,1.00E+01,4.00E+00,1.50E+01,2.30E+01,1.00E+01,1.07E+03
Greek Restaurant,7.00E+00,4.00E+00,4.80E+01,2.40E+01,1.20E+01,2.21E+02
Under the Table with Randy Dice: The Search for a New Mic,3.00E+00,2.00E+00,4.00E+00,1.10E+01,4.00E+00,2.82E+02
RUAWALK: The First Music-Guided Walking Tempo Controller,1.30E+01,5.00E+00,1.80E+02,2.50E+01,7.00E+00,1.70E+02
Green Machine Vapor 2,9.00E+00,4.00E+00,1.32E+02,2.20E+01,1.00E+01,1.16E+03
"Brokerpronto : On-Demand Real Estate App, Uber 4 Real Estate",5.00E+00,2.00E+00,1.60E+01,1.80E+01,8.00E+00,3.50E+01
Let's Make it 'Rain',1.10E+01,5.00E+00,3.70E+01,2.60E+01,1.00E+01,1.06E+03
Funky City : a funky rpg,6.00E+00,2.00E+00,3.90E+01,1.70E+01,7.00E+00,6.36E+02
Empowering Soap: Marianella's Spring 2017 Collection,6.00E+00,1.00E+00,1.80E+01,1.60E+01,8.00E+00,1.61E+03
Yellow Dot Illustrated Short Story,8.00E+00,4.00E+00,2.70E+01,1.20E+01,4.00E+00,2.02E+02
The Arrow Coffeehouse #2 & Kitchenhood Commissary Buildout,6.00E+00,4.00E+00,5.20E+01,2.50E+01,1.50E+01,1.88E+03
Three Arrows - Premium Menswear. Made in California.,9.00E+00,0.00E+00,0.00E+00,1.50E+01,6.00E+00,9.66E+02
Bond Of Brothers,8.00E+00,5.00E+00,6.70E+01,2.00E+01,9.00E+00,7.58E+02
Crossover - Dan Whitener's five-song blues EP!,4.00E+00,1.00E+00,1.00E+00,2.20E+01,1.10E+01,2.81E+02
"ZERO, An Electronic Album by Galaxy",9.00E+00,2.00E+00,7.00E+00,3.30E+01,1.70E+01,2.08E+03
Sego - World's 1st Dedicated Pet Sitter and Companion,7.00E+00,4.00E+00,7.30E+01,2.10E+01,1.10E+01,9.52E+02
Rob The Graveyard,1.00E+01,2.00E+00,1.80E+02,2.10E+01,1.20E+01,2.28E+03
"Pro Concept Gear, Revolutionizing The Way You Live and Train",4.00E+00,0.00E+00,0.00E+00,2.40E+01,1.30E+01,1.88E+03
"Filming ""Dear America"" For Addiction and Recovery Awareness",1.10E+01,3.00E+00,2.30E+01,2.10E+01,1.10E+01,1.27E+03
"Cake? Yes, please",9.00E+00,3.00E+00,9.00E+00,2.20E+01,1.30E+01,4.73E+02
A Series of Time Travel Stories,4.00E+00,2.00E+00,3.00E+00,2.40E+01,1.30E+01,1.31E+03
World's First Engineered Razor Solution to save YOU $100's!!,7.00E+00,4.00E+00,1.02E+02,2.70E+01,1.60E+01,1.69E+03
Wherehab,1.20E+01,7.00E+00,3.10E+02,2.80E+01,1.20E+01,1.58E+03
Downtown Vancouver Washington's NEW Food Park,2.00E+00,0.00E+00,0.00E+00,1.60E+01,6.00E+00,3.10E+02
"Wah! ""Take The Light"" Album - NEW VIDEO",8.00E+00,2.00E+00,2.00E+01,2.10E+01,1.30E+01,9.37E+02
TANGENT - Graphic Novel,8.00E+00,4.00E+00,1.39E+02,2.50E+01,1.00E+01,4.21E+02
BECOMING the IDOL,4.00E+00,2.00E+00,3.50E+01,1.90E+01,6.00E+00,1.24E+02
Kid chef: Cookbook to educate healthy eating,4.00E+00,1.00E+00,1.00E+00,2.10E+01,1.00E+01,1.49E+02
Josh Records a CD,8.00E+00,3.00E+00,1.10E+01,2.60E+01,1.50E+01,1.34E+03
Winter Moose: Vermont Sustainable Fashion,5.00E+00,2.00E+00,2.00E+00,2.20E+01,9.00E+00,4.21E+02
LPFM Non-Profit Learning Center Needs Improvement,6.00E+00,4.00E+00,1.00E+01,2.60E+01,9.00E+00,4.88E+02
Indie DEF CON Badge: The Ides of Defcon,8.00E+00,2.00E+00,6.00E+00,2.20E+01,1.10E+01,9.21E+02
"CharmedBar's NEW ""Project Protein"" Bars",9.00E+00,1.00E+00,6.00E+00,1.90E+01,1.30E+01,1.13E+03
FALLOUT: Revelation,7.00E+00,3.00E+00,5.10E+01,2.50E+01,1.00E+01,8.12E+02
The Boston University Allegrettos' Single,3.00E+00,1.00E+00,2.00E+00,2.60E+01,1.20E+01,7.97E+02
