campaignTitle,title_word_ct,title_word_match,title_word_score,blurb_word_ct,blurb_word_match,blurb_word_score
H2O Generator - An Electricity Generator That Runs On Water!,1.20E+01,3.00E+00,2.30E+01,2.30E+01,1.10E+01,1.43E+03
HAND KNITTED TOP HATS,1.00E+01,4.00E+00,1.05E+02,2.20E+01,1.30E+01,5.83E+02
Louisville Bespoke,5.00E+00,1.00E+00,6.00E+00,3.00E+01,1.30E+01,8.10E+02
Fairfax Royalty Photography Series (@fairfaxroyalty),3.00E+00,0.00E+00,0.00E+00,2.00E+01,1.00E+01,2.91E+02
Next-Gen Martial arts training,6.00E+00,2.00E+00,3.10E+01,1.60E+01,1.00E+01,3.25E+02
A NewsHound's Guide to Student Journalism,6.00E+00,3.00E+00,2.50E+01,2.30E+01,1.20E+01,1.80E+03
Opening the Earth: The Potato King,8.00E+00,2.00E+00,1.60E+01,1.40E+01,1.20E+01,6.78E+02
ViviStand - Next Generation Sit/Stand Desks,7.00E+00,3.00E+00,1.60E+01,2.20E+01,6.00E+00,1.22E+02
Alice in Wonderland Fundraiser! by Del Mar Ballet,7.00E+00,3.00E+00,6.70E+01,2.00E+01,1.00E+01,2.88E+02
"Alaska Escape Rooms: ""Raven's Eye"" A fun indoor adventure",9.00E+00,2.00E+00,4.00E+00,3.40E+01,1.40E+01,3.15E+02
JOBS iWEAR,1.10E+01,4.00E+00,4.80E+01,1.80E+01,1.30E+01,1.35E+03
Fierce Stranger,3.00E+00,0.00E+00,0.00E+00,6.00E+00,1.00E+00,1.06E+02
"Velocity Mount - iPhone, Android, Tablet & iPad Video Mount",3.00E+00,0.00E+00,0.00E+00,2.00E+01,1.00E+01,1.11E+03
April Folly (1920),1.00E+01,7.00E+00,2.32E+02,2.10E+01,1.50E+01,2.90E+03
Jenny's 2nd Album,4.00E+00,0.00E+00,0.00E+00,1.80E+01,7.00E+00,6.20E+02
The Chronicles Vol. 2,5.00E+00,2.00E+00,4.80E+01,1.80E+01,1.10E+01,7.08E+02
The Orange Cow,5.00E+00,1.00E+00,3.00E+00,2.10E+01,1.20E+01,1.40E+03
True Freedom,4.00E+00,0.00E+00,0.00E+00,2.80E+01,1.40E+01,1.42E+03
Agility with Allen: The Whole Caboodle [video class],3.00E+00,2.00E+00,1.40E+01,2.80E+01,1.20E+01,1.73E+03
Super Powers Cases Tech Device Cases for Phones and Tablets,9.00E+00,4.00E+00,1.55E+02,2.40E+01,1.10E+01,3.89E+02
"Kidgenda, a parenting app as unique as your child",1.10E+01,7.00E+00,5.60E+01,2.60E+01,1.40E+01,5.50E+02
Ramen Hero | The ramen meal-kit delivered to your door,1.00E+01,3.00E+00,2.39E+02,2.00E+01,9.00E+00,1.51E+02
Tip Tough - Cut your food not your fingers!,1.10E+01,5.00E+00,2.47E+02,2.40E+01,1.30E+01,1.36E+03
Eat Offbeat: The Cookbook,9.00E+00,4.00E+00,4.82E+02,2.10E+01,1.20E+01,1.45E+03
Johnson Farm,5.00E+00,1.00E+00,5.00E+00,1.80E+01,9.00E+00,1.72E+02
Cool Covers By Design,3.00E+00,1.00E+00,2.00E+00,2.00E+01,1.10E+01,1.36E+03
